!!SBtab TableID='ParameterData' TableName='Parameter' TableType='Quantity' Document='E. coli central carbon metabolism - unbalanced kinetic data' SBtabVersion='1.0' Date='2022-3-16'							
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Std	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	AAR		3.20E+02	3.01E+02	dimensionless	R01977	
Michaelis constant	AAR	NADH	4.30E-02	7.00E-03	mM	R01977	C00004
Michaelis constant	AAR	AcAcCoA	5.00E-02	4.00E-03	mM	R01977	C00332
substrate catalytic rate constant	AAR		1.47E+02	4.00E+00	1/s	R01977	
Michaelis constant	AAR	NAD	nan	nan	mM	R01977	C00003
Michaelis constant	AAR	HBCoA	nan	nan	mM	R01977	C03561
product catalytic rate constant	AAR		nan	nan	1/s	R01977	
equilibrium constant	AcdDH		2.36E-04	1.47E-04	dimensionless	R00228	
Michaelis constant	AcdDH	AcCoA	7.00E-03	nan	mM	R00228	C00024
Michaelis constant	AcdDH	NADH	2.50E-02	nan	mM	R00228	C00004
Michaelis constant	AcdDH	ACDH	1.00E+01	nan	mM	R00228	C00084
Michaelis constant	AcdDH	NAD	8.00E-02	nan	mM	R00228	C00003
Michaelis constant	AcdDH	CoA	8.00E-03	nan	mM	R00228	
product catalytic rate constant	AcdDH		nan	nan	1/s	R00228	
substrate catalytic rate constant	AcdDH		22.43	nan	1/s	R00228	
equilibrium constant	AlcDH		1.48E+03	3.19E+02	dimensionless	R00623	
Michaelis constant	AlcDH	ACDH	nan	nan	mM	R00623	C00084
Michaelis constant	AlcDH	NADH	nan	nan	mM	R00623	C00004
Michaelis constant	AlcDH	ETOH	1.06E+01	nan	mM	R00623	C00469
Michaelis constant	AlcDH	NAD	nan	nan	mM	R00623	C00003
product catalytic rate constant	AlcDH		8.203	1.15E+01	1/s	R00623	
substrate catalytic rate constant	AlcDH		nan	nan	1/s	R00623	
equilibrium constant	ENO		4.63E+00	9.96E-01	dimensionless	R00658	
Michaelis constant	ENO	PEP	3.00E-01	3.00E-01	mM	R00658	C00074
Michaelis constant	ENO	P2G	3.00E-01	3.00E-01	mM	R00658	C00631
substrate catalytic rate constant	ENO		1.98E+02	1.98E+02	1/s	R00658	
product catalytic rate constant	ENO		nan	nan	1/s	R00658	
equilibrium constant	GAPDH		6.16E-01	1.70E-01	dimensionless	R01061	
Michaelis constant	GAPDH	NAD	4.50E-02	4.00E-03	mM	R01061	C00003
Michaelis constant	GAPDH	Pi	5.30E-01	1.10E-01	mM	R01061	C00009
Michaelis constant	GAPDH	G3P	8.90E-01	1.70E-01	mM	R01061	C00118
substrate catalytic rate constant	GAPDH		2.68E+02	6.00E+00	1/s	R01061	
Michaelis constant	GAPDH	NADH	nan	nan	mM	R01061	C00004
Michaelis constant	GAPDH	BPG	nan	nan	mM	R01061	C00236
product catalytic rate constant	GAPDH		nan	nan	1/s	R01061	
equilibrium constant	GluKin		3.75E+03	1.03E+03	dimensionless	R00299	
Michaelis constant	GluKin	ADP	2.34E+00	nan	mM	R00299	C00008
Michaelis constant	GluKin	ATP	2.60E-01	nan	mM	R00299	C00002
Michaelis constant	GluKin	Gluc	7.60E-02	nan	mM	R00299	C00031
substrate catalytic rate constant	GluKin		4.10E+02	nan	1/s	R00299	
Michaelis constant	GluKin	G6P	nan	nan	mM	R00299	C00092
product catalytic rate constant	GluKin		nan	nan	1/s	R00299	
equilibrium constant	PFL		2.94E+03	2.03E+03	dimensionless	R00212	
Michaelis constant	PFL	CoA	6.80E-03	nan	mM	R00212	C00010
Michaelis constant	PFL	PYR	2.00E+00	nan	mM	R00212	C00022
Michaelis constant	PFL	AcCoA	5.10E-02	nan	mM	R00212	C00024
Michaelis constant	PFL	FOR	2.40E+01	nan	mM	R00212	C00058
product catalytic rate constant	PFL		3.80E+02	nan	1/s	R00212	
substrate catalytic rate constant	PFL		1.10E+03	nan	1/s	R00212	
equilibrium constant	PGK		2.61E+03	7.94E+02	dimensionless	R01512	
substrate catalytic rate constant	PGK		9.63E+02	nan	1/s	R01512	
Michaelis constant	PGK	ATP	7.70E-01	nan	mM	R01512	C00002
Michaelis constant	PGK	P3G	3.30E-01	nan	mM	R01512	C00197
product catalytic rate constant	PGK		3.54E+02	nan	1/s	R01512	
Michaelis constant	PGK	ADP	2.70E-01	nan	mM	R01512	C00008
Michaelis constant	PGK	BPG	4.38E-03	nan	mM	R01512	C00236
equilibrium constant	PGM		1.63E-01	4.01E-02	dimensionless	R01518	
substrate catalytic rate constant	PGM		1.16E+02	nan	1/s	R01518	
Michaelis constant	PGM	P3G	nan	nan	mM	R01518	C00197
Michaelis constant	PGM	P2G	nan	nan	mM	R01518	C00631
product catalytic rate constant	PGM		nan	nan	1/s	R01518	
equilibrium constant	PYK		2.40E+04	6.61E+03	dimensionless	R00200	
Michaelis constant	PYK	ADP	1.60E-01	nan	mM	R00200	C00008
