Reaction_name	kcatf	kcatr	KM
GluKin	406.4546	22.4273	 Gluc:0.0771 ATP:0.251 G6P:1.1108 ADP:2.0522
G6PDH	726.8821	25.7308	 G6P:1.0387 NAD:1.4638 NADH:0.448 P6Glac:1.062
PGase	475.2995	32.3378	 H2O:1.3823 P6Glac:0.0266 P6GLN:0.3318
GLNdeh	271.596	0.0013	 P6GLN:0.0404 H2O:2.3907 KDPG:2.3907
KDPGald	77.9629	289434.2994	 KDPG:0.2481 PYR:2.5302 G3P:0.3398
GAPDH	259.6839	23600.0613	 Pi:0.5027 G3P:0.8266 NAD:0.0471 BPG:0.8534 NADH:0.8534
PGK	1172.5667	269.8277	 ADP:0.2041 BPG:0.0039 ATP:0.8745 P3G:0.3878
PGM	112.3962	42761.6213	 P3G:1.7603 P2G:0.8522
ENO	195.8452	65.1495	 P2G:0.2883 PEP:0.2856 H2O:1.0811
PYK	231.3253	0.7283	 PEP:0.2926 ADP:0.1551 PYR:1.6361 ATP:1.6361
AcdDH	20.9475	3972436.4286	 NADH:0.0273 AcCoA:0.008 NAD:0.0781 ACDH:8.0371 CoA:0.0086
AlcDH	85240.4725	8.1165	 ACDH:1.1011 NADH:1.1011 ETOH:8.8189 NAD:1.384
PFL	1525.1724	254.0905	 PYR:1.2303 CoA:0.0053 AcCoA:0.0733 FOR:26.8856
Thio	9.9889	2843.3195	 AcCoA:0.1244 CoA:0.009 AcAcCoA:0.0191
AAR	146.0505	330.8082	 NADH:0.0446 AcAcCoA:0.0515 NAD:1.1487 HBCoA:1.1487
