Reaction_name	kcatf	kcatr	KM
GluKin	406.4547	22.4264	 Gluc:0.0771 ATP:0.251 G6P:1.1108 ADP:2.0522
PGI	116.7019	201.2944	 G6P:0.2629 F6P:0.1418
PFK	60.0093	1399.9475	 ATP:0.009 F6P:0.0079 ADP:1.8287 FBP:0.6372
ALD	7.9482	75314.8298	 FBP:0.1878 DHAP:0.1268 G3P:0.85
TPI	3603.3214	1915.0469	 DHAP:3.3645 G3P:0.3938
GAPDH	259.6839	23599.9817	 Pi:0.5027 G3P:0.8266 NAD:0.0471 BPG:0.8534 NADH:0.8534
PGK	1172.5673	269.8276	 ADP:0.2041 BPG:0.0039 ATP:0.8745 P3G:0.3878
PGM	112.3962	42761.4112	 P3G:1.7603 P2G:0.8522
ENO	195.8452	65.1491	 P2G:0.2883 PEP:0.2856 H2O:1.0811
PYK	231.3253	0.7283	 PEP:0.2926 ADP:0.1551 PYR:1.6361 ATP:1.6361
AcdDH	20.9475	3972203.8243	 NADH:0.0273 AcCoA:0.008 NAD:0.0781 ACDH:8.0371 CoA:0.0086
AlcDH	85243.773	8.1165	 ACDH:1.1011 NADH:1.1011 ETOH:8.8189 NAD:1.384
PFL	1525.1795	254.0894	 PYR:1.2302 CoA:0.0053 AcCoA:0.0733 FOR:26.8857
Thio	9.9889	2843.3235	 AcCoA:0.1244 CoA:0.009 AcAcCoA:0.0191
AAR	146.0505	330.8052	 NADH:0.0446 AcAcCoA:0.0515 NAD:1.1487 HBCoA:1.1487
