Reaction_name	kcatf	kcatr	KM
GluKin	406.4543	22.4311	 Gluc:0.0771 ATP:0.251 G6P:1.1108 ADP:2.0522
PGI	116.7263	201.2522	 G6P:0.2628 F6P:0.1419
PKT	656.026	0.0	 Pi:5.9734 X5P:2.5111 H2O:4.5862 G3P:4.5862 AcP:4.5862
TALA	3197.2713	20.0103	 F6P:1.3715 E4P:0.451 G3P:0.024 S7P:0.166
TKT1	958.5534	59.4723	 G3P:8.1842 S7P:1.2405 Ri5P:1.276 X5P:0.1592
RibIso	2015.0289	1850.7321	 Ri5P:2.7504 Ru5P:0.7535
RibEpi	1021.6626	1503.1637	 Ru5P:1.5848 X5P:9.9694
TKT2	74.0803	65.8057	 F6P:1.0061 G3P:1.8713 E4P:0.0896 X5P:0.1557
TPI	1832.0136	3766.6365	 G3P:0.4109 DHAP:3.2244
ALD	61184.1885	7.9568	 DHAP:0.1268 G3P:0.861 FBP:0.1877
FBPase	24.8553	1709.3919	 FBP:0.0057 H2O:1.2972 Pi:0.3319 F6P:1.158
GAPDH	259.6844	23591.4997	 Pi:0.5027 G3P:0.8266 NAD:0.0471 BPG:0.8534 NADH:0.8534
PGK	1172.4157	269.8625	 ADP:0.2041 BPG:0.0039 ATP:0.8744 P3G:0.3878
PGM	112.3956	42808.0431	 P3G:1.7604 P2G:0.8522
ENO	195.6847	65.0773	 P2G:0.2883 PEP:0.2856 H2O:1.0812
PYK	231.3243	0.7289	 ADP:0.1551 PEP:0.2926 ATP:1.636 PYR:1.636
PDH	98.6497	4.5324	 PYR:0.4731 NAD:0.7857 CoA:0.023 NADH:1.9671 AcCoA:1.9671 CO2:1.9671
PTA	254.0612	25.165	 CoA:0.0589 AcP:0.7125 Pi:2.0829 AcCoA:0.0521
Thio	9.9825	2845.1497	 AcCoA:0.1243 CoA:0.009 AcAcCoA:0.0191
AAR	146.0506	330.7483	 NADH:0.0446 AcAcCoA:0.0515 NAD:1.1487 HBCoA:1.1487
