Reaction_name	kcatf	kcatr	KM
SucP	167.2086	72.1039	 Suc:10.7866 Pi:24.8347 G1P:56.0793 Fru:28.8357
HPM	153.7445	1758.3863	 G1P:8.894 G6P:48.7854
FruKin	134.974	5.3111	 Fru:0.0712 ATP:0.1574 F6P:0.2741 ADP:1.0324
PGI	116.7272	201.2508	 G6P:0.2628 F6P:0.1419
PKT	656.026	0.0	 Pi:5.9734 X5P:2.5111 H2O:4.5862 G3P:4.5862 AcP:4.5862
TALA	3197.2666	20.0103	 F6P:1.3715 E4P:0.451 G3P:0.024 S7P:0.166
TKT1	958.5524	59.4723	 G3P:8.1842 S7P:1.2405 Ri5P:1.276 X5P:0.1592
RibIso	2015.029	1850.7284	 Ri5P:2.7504 Ru5P:0.7535
RibEpi	1021.6637	1503.1621	 Ru5P:1.5848 X5P:9.9694
TKT2	74.0803	65.8064	 F6P:1.0061 G3P:1.8713 E4P:0.0896 X5P:0.1557
TPI	1832.0124	3766.639	 G3P:0.4109 DHAP:3.2244
ALD	61183.8453	7.9568	 DHAP:0.1268 G3P:0.861 FBP:0.1877
FBPase	24.8553	1709.409	 FBP:0.0057 H2O:1.2972 Pi:0.3319 F6P:1.158
GAPDH	259.6844	23591.3927	 Pi:0.5027 G3P:0.8266 NAD:0.0471 BPG:0.8534 NADH:0.8534
PGK	1172.4148	269.8627	 ADP:0.2041 BPG:0.0039 ATP:0.8744 P3G:0.3878
PGM	112.3956	42808.2968	 P3G:1.7604 P2G:0.8522
ENO	195.6847	65.0778	 P2G:0.2883 PEP:0.2856 H2O:1.0812
PYK	231.3243	0.7289	 ADP:0.1551 PEP:0.2926 ATP:1.636 PYR:1.636
PDH	98.6497	4.5324	 PYR:0.4731 NAD:0.7857 CoA:0.023 NADH:1.9671 AcCoA:1.9671 CO2:1.9671
PTA	254.0609	25.1651	 CoA:0.0589 AcP:0.7125 Pi:2.0829 AcCoA:0.0521
Thio	9.9825	2845.1518	 AcCoA:0.1243 CoA:0.009 AcAcCoA:0.0191
AAR	146.0506	330.7487	 NADH:0.0446 AcAcCoA:0.0515 NAD:1.1487 HBCoA:1.1487
