!!SBtab SBtabVersion='1.0' TableID='ParameterBalanced' TableType='Quantity' TableName='Parameter' Document='Ecoli_ED.tsv' Date='2023-05-26'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd	!Std	!GeometricStd	!Organism	!Reference
standard chemical potential		G6P	17.21	kJ/mol	NaN	NaN	17.21	266.2152				
concentration		G6P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Gluc	41.0522	kJ/mol	NaN	NaN	41.0522	312.6275				
concentration		Gluc	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PEP	3.912	kJ/mol	NaN	NaN	3.912	259.5958				
concentration		PEP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PYR	-17.0752	kJ/mol	NaN	NaN	-17.0752	274.1471				
concentration		PYR	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		F6P	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		F6P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ADP	1.8543	kJ/mol	NaN	NaN	1.8543	376.3665				
concentration		ADP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ATP	-1.8543	kJ/mol	NaN	NaN	-1.8543	376.3665				
concentration		ATP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FBP	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		FBP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		DHAP	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		DHAP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		G3P	-12.4471	kJ/mol	NaN	NaN	-12.4471	294.5525				
concentration		G3P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		BPG	10.6477	kJ/mol	NaN	NaN	10.6477	312.6177				
concentration		BPG	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NAD	5.4422	kJ/mol	NaN	NaN	5.4422	369.4873				
concentration		NAD	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NADH	-5.4422	kJ/mol	NaN	NaN	-5.4422	369.4873				
concentration		NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Pi	10.7705	kJ/mol	NaN	NaN	10.7705	357.9572				
concentration		Pi	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P3G	-4.2889	kJ/mol	NaN	NaN	-4.2889	215.276				
concentration		P3G	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P2G	0.4469	kJ/mol	NaN	NaN	0.4469	215.2759				
concentration		P2G	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		H2O	-6.9999	kJ/mol	NaN	NaN	-6.9999	309.9181				
concentration		H2O	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcCoA	-4.4273	kJ/mol	NaN	NaN	-4.4273	255.9886				
concentration		AcCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Acd	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Acd	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		CoA	3.6343	kJ/mol	NaN	NaN	3.6343	393.061				
concentration		CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ETOH	-26.7406	kJ/mol	NaN	NaN	-26.7406	344.132				
concentration		ETOH	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FOR	-27.6306	kJ/mol	NaN	NaN	-27.6306	298.3119				
concentration		FOR	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcAcCoA	12.8536	kJ/mol	NaN	NaN	12.8536	343.4423				
concentration		AcAcCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		HBCoA	-12.0606	kJ/mol	NaN	NaN	-12.0606	299.6153				
concentration		HBCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PHB	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		PHB	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P6Glac	21.5626	kJ/mol	NaN	NaN	21.5626	225.5655				
concentration		P6Glac	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P6GLN	-10.5763	kJ/mol	NaN	NaN	-10.5763	309.4386				
concentration		P6GLN	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		KDPG	-46.0308	kJ/mol	NaN	NaN	-46.0308	225.5656				
concentration		KDPG	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ACDH	1.9513	kJ/mol	NaN	NaN	1.9513	220.177				
concentration		ACDH	0.1	mM	0.1	10.0	1.4167	20.0217				
