!!SBtab SBtabVersion='1.0' TableID='ParameterBalanced' TableType='Quantity' TableName='Parameter' Document='Ecoli_EMP.tsv' Date='2023-05-26'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd	!Std	!GeometricStd	!Organism	!Reference
standard chemical potential		G6P	-1.4976	kJ/mol	NaN	NaN	-1.4976	232.1085				
concentration		G6P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Gluc	21.5368	kJ/mol	NaN	NaN	21.5368	334.501				
concentration		Gluc	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PEP	10.4008	kJ/mol	NaN	NaN	10.4008	284.2271				
concentration		PEP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PYR	-11.3943	kJ/mol	NaN	NaN	-11.3943	298.8808				
concentration		PYR	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		F6P	1.3833	kJ/mol	NaN	NaN	1.3833	232.1083				
concentration		F6P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ADP	1.4504	kJ/mol	NaN	NaN	1.4504	370.9611				
concentration		ADP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ATP	-1.4504	kJ/mol	NaN	NaN	-1.4504	370.9611				
concentration		ATP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FBP	-19.0735	kJ/mol	NaN	NaN	-19.0735	311.0536				
concentration		FBP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		DHAP	0.3078	kJ/mol	NaN	NaN	0.3078	155.5283				
concentration		DHAP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		G3P	4.0585	kJ/mol	NaN	NaN	4.0585	155.5283				
concentration		G3P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		BPG	10.6582	kJ/mol	NaN	NaN	10.6582	294.476				
concentration		BPG	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NAD	-1.9525	kJ/mol	NaN	NaN	-1.9525	373.2187				
concentration		NAD	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NADH	1.9525	kJ/mol	NaN	NaN	1.9525	373.2187				
concentration		NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Pi	9.0647	kJ/mol	NaN	NaN	9.0647	310.0187				
concentration		Pi	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P3G	-5.0863	kJ/mol	NaN	NaN	-5.0863	243.3355				
concentration		P3G	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P2G	-0.3505	kJ/mol	NaN	NaN	-0.3505	243.3359				
concentration		P2G	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		H2O	-14.2861	kJ/mol	NaN	NaN	-14.2861	339.5438				
concentration		H2O	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcCoA	-5.9603	kJ/mol	NaN	NaN	-5.9603	256.3492				
concentration		AcCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Acd	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Acd	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		CoA	10.7584	kJ/mol	NaN	NaN	10.7584	395.345				
concentration		CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ETOH	-5.8195	kJ/mol	NaN	NaN	-5.8195	378.9347				
concentration		ETOH	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FOR	-13.2926	kJ/mol	NaN	NaN	-13.2926	337.5585				
concentration		FOR	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcAcCoA	2.6634	kJ/mol	NaN	NaN	2.6634	349.7977				
concentration		AcAcCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		HBCoA	-7.4615	kJ/mol	NaN	NaN	-7.4615	302.3779				
concentration		HBCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PHB	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		PHB	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ACDH	8.0833	kJ/mol	NaN	NaN	8.0833	226.7914				
concentration		ACDH	0.1	mM	0.1	10.0	1.4167	20.0217				
catalytic rate constant geometric mean	GluKin		20.5934	1/s	20.5934	3.584	46.51	94.1847				
concentration of enzyme	GluKin		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	GluKin		3366.7128	dimensionless	3366.7128	1.6029	3763.0784	1878.9861		1.2		
substrate catalytic rate constant	GluKin		363.9384	1/s	363.9384	1.6001	406.4547	202.1243		1.2		
product catalytic rate constant	GluKin		1.1653	1/s	1.1653	11.3815	22.4264	431.0251				
