!!SBtab SBtabVersion='1.0' TableID='ParameterBalanced' TableType='Quantity' TableName='Parameter' Document='Ecoli_NOGEMP.tsv' Date='2023-05-26'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd	!Std	!GeometricStd	!Organism	!Reference
standard chemical potential		G6P	-10.5209	kJ/mol	NaN	NaN	-10.5209	188.3472				
concentration		G6P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Gluc	14.0053	kJ/mol	NaN	NaN	14.0053	303.608				
concentration		Gluc	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PEP	18.8074	kJ/mol	NaN	NaN	18.8074	243.1241				
concentration		PEP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PYR	-1.4933	kJ/mol	NaN	NaN	-1.4933	321.8823				
concentration		PYR	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		F6P	-7.642	kJ/mol	NaN	NaN	-7.642	188.3459				
concentration		F6P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ADP	2.1965	kJ/mol	NaN	NaN	2.1965	375.4988				
concentration		ADP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ATP	-2.1965	kJ/mol	NaN	NaN	-2.1965	375.4988				
concentration		ATP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FBP	21.3331	kJ/mol	NaN	NaN	21.3331	251.1744				
concentration		FBP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		DHAP	20.4503	kJ/mol	NaN	NaN	20.4503	125.5893				
concentration		DHAP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		G3P	23.7703	kJ/mol	NaN	NaN	23.7703	125.589				
concentration		G3P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		BPG	-4.6909	kJ/mol	NaN	NaN	-4.6909	293.4726				
concentration		BPG	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NAD	-5.4002	kJ/mol	NaN	NaN	-5.4002	393.6024				
concentration		NAD	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NADH	5.4002	kJ/mol	NaN	NaN	5.4002	393.6024				
concentration		NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Pi	-19.0996	kJ/mol	NaN	NaN	-19.0996	269.2278				
concentration		Pi	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P3G	-18.9412	kJ/mol	NaN	NaN	-18.9412	194.3307				
concentration		P3G	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P2G	-14.2024	kJ/mol	NaN	NaN	-14.2024	194.3307				
concentration		P2G	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		H2O	-36.5457	kJ/mol	NaN	NaN	-36.5457	245.8391				
concentration		H2O	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcCoA	-0.1805	kJ/mol	NaN	NaN	-0.1805	261.6525				
concentration		AcCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Acd	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Acd	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		CoA	46.5499	kJ/mol	NaN	NaN	46.5499	352.2626				
concentration		CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ETOH	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		ETOH	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FOR	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		FOR	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcAcCoA	-21.5698	kJ/mol	NaN	NaN	-21.5698	334.0055				
concentration		AcAcCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		HBCoA	-24.7996	kJ/mol	NaN	NaN	-24.7996	340.8168				
concentration		HBCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PHB	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		PHB	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		CO2	0.5605	kJ/mol	NaN	NaN	0.5605	335.483				
concentration		CO2	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcP	-57.7423	kJ/mol	NaN	NaN	-57.7423	162.9996				
concentration		AcP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		E4P	19.4148	kJ/mol	NaN	NaN	19.4148	116.8736				
concentration		E4P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Ri5P	8.5447	kJ/mol	NaN	NaN	8.5447	142.2202				
concentration		Ri5P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Ru5P	10.8718	kJ/mol	NaN	NaN	10.8718	142.2188				
concentration		Ru5P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		X5P	7.27	kJ/mol	NaN	NaN	7.27	142.2184				
concentration		X5P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		S7P	-12.069	kJ/mol	NaN	NaN	-12.069	243.73				
concentration		S7P	0.1	mM	0.1	10.0	1.4167	20.0217				
catalytic rate constant geometric mean	PGI		140.2738	1/s	140.2738	1.3954	148.2782	50.8015				
concentration of enzyme	PGI		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PGI		0.3131	dimensionless	0.3131	1.5245	0.3422	0.1509		1.2		
substrate catalytic rate constant	PGI		106.8294	1/s	106.8294	1.5234	116.7263	51.3951		1.2		
product catalytic rate constant	PGI		184.1885	1/s	184.1885	1.5234	201.2522	88.6121		1.2		
catalytic rate constant geometric mean	ALD		157.6169	1/s	157.6169	3.5199	347.9297	684.7047				
concentration of enzyme	ALD		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	ALD		10224.3595	dimensionless	10224.3595	1.6029	11428.0714	5706.2583		1.2		
substrate catalytic rate constant	ALD		3486.9648	1/s	3486.9648	10.9538	61184.1885	1071826.2945				
product catalytic rate constant	ALD		7.1246	1/s	7.1246	1.6001	7.9568	3.9568		1.2		
catalytic rate constant geometric mean	TPI		2404.1587	1/s	2404.1587	1.3954	2541.3462	870.6897				
concentration of enzyme	TPI		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	TPI		3.8162	dimensionless	3.8162	1.5245	4.171	1.8398		1.2		
substrate catalytic rate constant	TPI		1676.6817	1/s	1676.6817	1.5234	1832.0136	806.6428		1.2		
product catalytic rate constant	TPI		3447.2727	1/s	3447.2727	1.5234	3766.6365	1658.4648		1.2		
catalytic rate constant geometric mean	GAPDH		181.4302	1/s	181.4302	5.1674	698.9435	2600.3206				
concentration of enzyme	GAPDH		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	GAPDH		0.5597	dimensionless	0.5597	1.6029	0.6255	0.3124		1.2		
substrate catalytic rate constant	GAPDH		232.5069	1/s	232.5069	1.6003	259.6844	129.176		1.2		
product catalytic rate constant	GAPDH		141.5739	1/s	141.5739	24.5005	23591.4997	3931154.9359				
catalytic rate constant geometric mean	PGK		511.5281	1/s	511.5281	1.3954	540.7173	185.2549				
concentration of enzyme	PGK		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PGK		1845.544	dimensionless	1845.544	1.5472	2029.9886	929.9678		1.2		
substrate catalytic rate constant	PGK		1066.201	1/s	1066.201	1.5462	1172.4157	536.1974		1.2		
product catalytic rate constant	PGK		245.4144	1/s	245.4144	1.5462	269.8625	123.42		1.2		
catalytic rate constant geometric mean	PGM		182.0952	1/s	182.0952	4.9751	659.6108	2296.4835				
concentration of enzyme	PGM		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PGM		0.1478	dimensionless	0.1478	1.6029	0.1653	0.0825		1.2		
substrate catalytic rate constant	PGM		100.6334	1/s	100.6334	1.6003	112.3956	55.9075		1.2		
product catalytic rate constant	PGM		329.4994	1/s	329.4994	22.6443	42808.0431	5561388.0651				
catalytic rate constant geometric mean	ENO		25.4921	1/s	25.4921	3.5199	56.2723	110.7405				
concentration of enzyme	ENO		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	ENO		4.1632	dimensionless	4.1632	1.6029	4.6534	2.3235		1.2		
substrate catalytic rate constant	ENO		175.216	1/s	175.216	1.6001	195.6847	97.3101		1.2		
product catalytic rate constant	ENO		3.7088	1/s	3.7088	10.9538	65.0773	1140.0265				
catalytic rate constant geometric mean	Thio		152.7135	1/s	152.7135	1.3954	161.4277	55.3067				
concentration of enzyme	Thio		0.001	mM	0.001	100.0	40.2875	1623081.6651				
