!!SBtab SBtabVersion='1.0' TableID='ParameterBalanced' TableType='Quantity' TableName='Parameter' Document='Ecoli_NOGEMP_suc.tsv' Date='2023-05-26'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd	!Std	!GeometricStd	!Organism	!Reference
standard chemical potential		G6P	-13.2859	kJ/mol	NaN	NaN	-13.2859	148.931				
concentration		G6P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Gluc	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Gluc	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PEP	19.6943	kJ/mol	NaN	NaN	19.6943	241.3248				
concentration		PEP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PYR	-4.2705	kJ/mol	NaN	NaN	-4.2705	316.9574				
concentration		PYR	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		F6P	-10.407	kJ/mol	NaN	NaN	-10.407	148.9295				
concentration		F6P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ADP	0.3645	kJ/mol	NaN	NaN	0.3645	373.4177				
concentration		ADP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ATP	-0.3645	kJ/mol	NaN	NaN	-0.3645	373.4177				
concentration		ATP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FBP	23.747	kJ/mol	NaN	NaN	23.747	246.3911				
concentration		FBP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		DHAP	21.6572	kJ/mol	NaN	NaN	21.6572	123.1977				
concentration		DHAP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		G3P	24.9772	kJ/mol	NaN	NaN	24.9772	123.1974				
concentration		G3P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		BPG	-0.1744	kJ/mol	NaN	NaN	-0.1744	277.6416				
concentration		BPG	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NAD	-6.3178	kJ/mol	NaN	NaN	-6.3178	392.4665				
concentration		NAD	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NADH	6.3178	kJ/mol	NaN	NaN	6.3178	392.4665				
concentration		NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Pi	-13.955	kJ/mol	NaN	NaN	-13.955	236.7604				
concentration		Pi	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P3G	-18.0888	kJ/mol	NaN	NaN	-18.0888	193.5561				
concentration		P3G	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		P2G	-13.35	kJ/mol	NaN	NaN	-13.35	193.556				
concentration		P2G	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		H2O	-36.5801	kJ/mol	NaN	NaN	-36.5801	244.6297				
concentration		H2O	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcCoA	0.0141	kJ/mol	NaN	NaN	0.0141	261.6213				
concentration		AcCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Acd	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Acd	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		CoA	49.3581	kJ/mol	NaN	NaN	49.3581	345.1913				
concentration		CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ETOH	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		ETOH	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FOR	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		FOR	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcAcCoA	-23.9887	kJ/mol	NaN	NaN	-23.9887	327.5205				
concentration		AcAcCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		HBCoA	-25.3835	kJ/mol	NaN	NaN	-25.3835	340.6014				
concentration		HBCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PHB	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		PHB	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		CO2	-1.4382	kJ/mol	NaN	NaN	-1.4382	332.9295				
concentration		CO2	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AcP	-55.2113	kJ/mol	NaN	NaN	-55.2113	151.3258				
concentration		AcP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		E4P	19.2978	kJ/mol	NaN	NaN	19.2978	111.7365				
concentration		E4P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Ri5P	7.1036	kJ/mol	NaN	NaN	7.1036	121.7344				
concentration		Ri5P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Ru5P	9.4307	kJ/mol	NaN	NaN	9.4307	121.7327				
