,0,1,2
0,ATP,2.64194273585719e-10,37.03049317264101
1,ADP,6.291139545830253e-08,8817.904977202814
2,NAD,2.5862110209477822e-05,26.789493980700883
3,Pi,6.036907145069535e-05,unbounded
4,NADH,3.6106691701486705e-07,0.3743638829770261
5,CoA,7.244519471090008e-12,0.0026231219269909427
6,AcCoA,0.0048213278624259235,561113.8207608949
7,PYR,1.0119209125945339e-08,0.16979826608835735
8,FOR,unbounded,18.104181633155726
9,Gluc,3.1526762957722833e-10,unbounded
10,PEP,3.864955316318596e-09,0.00843853130603285
11,G3P,3.284077486917817e-06,0.012618887534435332
12,ACDH,unbounded,0.08105061860026704
13,P3G,5.9711812604139635e-05,69.33018039520509
14,AcAcCoA,2.055754811484203e-09,2.1294716750479843e-05
15,G6P,4.623352756619856e-09,124973.18564812715
16,BPG,1.1587904635449383e-08,0.004141193395763579
17,P2G,7.485792860679023e-06,0.0024295806694352657
18,ETOH,unbounded,1013.7794163683607
19,P6GLN,4.728129302919222e-13,165.8794250969063
20,P6Glac,1.1363675747602776e-08,85.19791171807148
21,KDPG,1.0777495213335864e-05,859349.5302505686
22,HBCoA,6.111849344475013e-08,0.051792939098378094
23,PHB,unbounded,33462.989111649775
