,0,1,2
0,ATP,9.878672973667175e-09,26.749505267785015
1,ADP,8.709095651221727e-08,235.82519698849626
2,NAD,4.956229882392771e-05,26.78949398070062
3,Pi,0.00011569164057872957,unbounded
4,NADH,3.6106691701486964e-07,0.19534687110448967
5,CoA,7.244519471090034e-12,0.0026231219269909453
6,AcCoA,0.004821327862425915,561113.820760889
7,PYR,1.0119209125945195e-08,246.21241958015997
8,FOR,unbounded,18.104181633155807
9,Gluc,1.1276607362884795e-09,unbounded
10,PEP,3.864955316318555e-09,0.00843853130603285
11,G3P,3.2840774869178287e-06,0.0014193235874648124
12,ACDH,unbounded,0.04229303483749021
13,DHAP,0.0003786817923318177,1.3409436926456955
14,P3G,5.971181260413974e-05,36.177191308126815
15,AcAcCoA,3.9396605091477525e-09,2.1294716750479884e-05
16,G6P,0.0028185470908856365,124973.18564812782
17,BPG,1.1587904635449259e-08,0.0021609167157576247
18,P2G,7.48579286067905e-06,0.0024295806694352765
19,ETOH,unbounded,276.03776451462676
20,FBP,9.522510234740157e-05,38239.968919089835
21,HBCoA,6.11184934447499e-08,0.02702608092884439
22,PHB,unbounded,33462.98911164983
23,F6P,1.6883064828839373e-09,0.019146140993884706
