Reaction Formula,Relative Flux,Reaction Name,kcrf(1/s),kcrr(1/s),kM(mM),MWe(Da)
Gluc + ATP <=> G6P + ADP ,3,GluKin,406.4546,22.4273, Gluc:0.0771 ATP:0.251 G6P:1.1108 ADP:2.0522,34723
G6P + NAD <=> NADH + P6Glac ,3,G6PDH,726.8821,25.7308, G6P:1.0387 NAD:1.4638 NADH:0.448 P6Glac:1.062,54340
H2O + P6Glac <=> P6GLN ,3,PGase,475.2995,32.3378, H2O:1.3823 P6Glac:0.0266 P6GLN:0.3318,36308
P6GLN <=> H2O + KDPG ,3,GLNdeh,271.596,0.0013, P6GLN:0.0404 H2O:2.3907 KDPG:2.3907,64639
KDPG <=> G3P + PYR ,3,KDPGald,77.9629,289434.2994, KDPG:0.2481 PYR:2.5302 G3P:0.3398,22284
G3P + NAD + Pi <=> BPG + NADH ,3,GAPDH,259.6839,23600.0613, Pi:0.5027 G3P:0.8266 NAD:0.0471 BPG:0.8534 NADH:0.8534,35532
ADP + BPG <=> ATP + P3G ,3,PGK,1172.5667,269.8277, ADP:0.2041 BPG:0.0039 ATP:0.8745 P3G:0.3878,41118
P3G <=> P2G ,3,PGM,112.3962,42761.6213, P3G:1.7603 P2G:0.8522,28556
P2G <=> H2O + PEP ,3,ENO,195.8452,65.1495, P2G:0.2883 PEP:0.2856 H2O:1.0811,45655
ADP + PEP <=> ATP + PYR ,3,PYK,231.3253,0.7283, PEP:0.2926 ADP:0.1551 PYR:1.6361 ATP:1.6361,51357
NADH + AcCoA  <=> NAD + CoA + ACDH ,2,AcdDH,20.9475,3972436.429, NADH:0.0273 AcCoA:0.008 NAD:0.0781 ACDH:8.0371 CoA:0.0086,96127
NADH + ACDH  <=> NAD + ETOH ,2,AlcDH,85240.4725,8.1165, ACDH:1.1011 NADH:1.1011 ETOH:8.8189 NAD:1.384,96127
PYR + CoA <=> AcCoA + FOR ,6,PFL,1525.1724,254.0905, PYR:1.2303 CoA:0.0053 AcCoA:0.0733 FOR:26.8856,85357
2 AcCoA <=> CoA + AcAcCoA ,2,Thio,9.9889,2843.3195, AcCoA:0.1244 CoA:0.009 AcAcCoA:0.0191,40549
NADH + AcAcCoA <=> NAD + HBCoA ,2,AAR,146.0505,330.8082, NADH:0.0446 AcAcCoA:0.0515 NAD:1.1487 HBCoA:1.1487,26840
