Reaction Formula,Relative Flux,Reaction Name,kcrf(1/s),kcrr(1/s),kM(mM),MWe(Da)
Gluc + ATP <=> G6P + ADP,3,GluKin,406.4547,22.4264, Gluc:0.0771 ATP:0.251 G6P:1.1108 ADP:2.0522,34723
G6P <=> F6P ,3,PGI,116.7019,201.2944, G6P:0.2629 F6P:0.1418,61530
ATP + F6P <=> ADP + FBP ,3,PFK,60.0093,1399.9475, ATP:0.009 F6P:0.0079 ADP:1.8287 FBP:0.6372,34842
FBP <=> DHAP + G3P ,3,ALD,7.9482,75314.8298, FBP:0.1878 DHAP:0.1268 G3P:0.85,38109
DHAP <=> G3P ,3,TPI,3603.3214,1915.0469, DHAP:3.3645 G3P:0.3938,26972
Pi + G3P + NAD <=> BPG + NADH ,6,GAPDH,259.6839,23599.9817, Pi:0.5027 G3P:0.8266 NAD:0.0471 BPG:0.8534 NADH:0.8534,35532
ADP + BPG <=> ATP + P3G ,6,PGK,1172.5673,269.8276, ADP:0.2041 BPG:0.0039 ATP:0.8745 P3G:0.3878,41118
P3G <=> P2G ,6,PGM,112.3962,42761.4112, P3G:1.7603 P2G:0.8522,28556
P2G <=> H2O + PEP ,6,ENO,195.8452,65.1491, P2G:0.2883 PEP:0.2856 H2O:1.0811,45655
ADP + PEP <=> ATP + PYR ,6,PYK,231.3253,0.7283, PEP:0.2926 ADP:0.1551 PYR:1.6361 ATP:1.6361,51357
NADH + AcCoA  <=> NAD + CoA + ACDH ,2,AcdDH,20.9475,3972203.824, NADH:0.0273 AcCoA:0.008 NAD:0.0781 ACDH:8.0371 CoA:0.0086,96127
NADH + ACDH  <=> NAD + ETOH ,2,AlcDH,85243.773,8.1165, ACDH:1.1011 NADH:1.1011 ETOH:8.8189 NAD:1.384,96127
PYR + CoA <=> AcCoA + FOR ,6,PFL,1525.1795,254.0894, PYR:1.2302 CoA:0.0053 AcCoA:0.0733 FOR:26.8857,85357
2 AcCoA <=> CoA + AcAcCoA ,2,Thio,9.9889,2843.3235, AcCoA:0.1244 CoA:0.009 AcAcCoA:0.0191,40549
NADH + AcAcCoA <=> NAD + HBCoA ,2,AAR,146.0505,330.8052, NADH:0.0446 AcAcCoA:0.0515 NAD:1.1487 HBCoA:1.1487,26840
